,tweet_id,cluster_id
2166,1437190710688636928,0
4027,1436767291761438720,0
4113,1435398068061589504,0
4109,1435536548720791552,0
381,1435440598488600576,0
3039,1437174496587390976,0
398,1435322000734576640,0
410,1435415704866631680,0
4085,1435397644348792832,0
4071,1435975893541851136,0
2435,1444320624088915968,1
3860,1435675874221821952,1
2695,1436089720157753344,1
2658,1435374496081457152,1
2648,1435652337364787200,1
2597,1435357732740157440,1
2552,1436056287826124800,1
2530,1437209032742342656,1
2528,1435919634948104192,1
2509,1444314230149328896,1
4937,1435003503928283136,2
2169,1435346845841203200,2
1767,1435163534460133376,2
1898,1435120406080344064,2
2002,1435639016968310784,2
2018,1436685321803083776,2
2085,1444088537129918464,2
2099,1435590725035565056,2
2149,1436840205974220800,2
2434,1435112702494613504,2
4992,1435600086222901248,3
1201,1444277419825893376,3
4886,1435530912511545344,3
2797,1435601679324438528,3
2580,1435755923969134592,3
2565,1435690702688722944,3
2283,1435315429749280768,3
2266,1435370460766687232,3
2140,1444325177521750016,3
2019,1435199746659004416,3
4962,1444410150530519040,4
1590,1444438085454999552,4
2647,1436878753456664576,4
2598,1435993268383277056,4
4825,1444446959272615936,4
2151,1437114553607852032,4
2094,1435422856347783168,4
1882,1434989743360651264,4
1836,1435018494156943360,4
1828,1444265554118840320,4
4989,1437035651237568512,5
2474,1436865922082480128,5
2374,1444280450168537088,5
2360,1435019180751921152,5
2255,1436457692353204224,5
1761,1436426661696884736,5
1752,1444381154006683648,5
1697,1437114557303074816,5
1601,1435560011766370304,5
1485,1436799797940342784,5
4936,1444305253055221760,6
2071,1435242857133137920,6
165,1444295014515884032,6
318,1437115324894175232,6
603,1444478038549438464,6
1005,1435326956837478400,6
1663,1435268019870126080,6
1680,1435325754338910208,6
1749,1435071618401935360,6
1841,1436434396052140032,6
4729,1435232133694492672,7
4233,1436322438057504768,7
4068,1436326983315726336,7
2969,1437201971224666112,7
2888,1435747539890933760,7
2699,1436102642216972288,7
2230,1435032755595792384,7
2144,1435380908215918592,7
1917,1436753440236097536,7
1645,1437132512334077952,7
4154,1435388277859696640,8
3249,1435029488254038016,8
3042,1436879883771187200,8
2321,1444127400955105280,8
1870,1436736014308024320,8
1688,1435985714592821248,8
1557,1436798027394691072,8
943,1435162799982874624,8
906,1436708086551654400,8
507,1435112670374600704,8
4868,1435083848799358976,9
4521,1435414323724234752,9
4057,1436081903057182720,9
3877,1435301011145609216,9
3652,1435401002765664256,9
3236,1435402799131631616,9
3129,1435048999569010688,9
2260,1435411399409291264,9
1211,1435105436047450112,9
825,1435074079086809088,9
4717,1435997956386217984,10
4222,1435973960957677568,10
3124,1435866135371603968,10
3084,1435942731176677376,10
2417,1436139864152580096,10
2359,1436377281467928576,10
1480,1435807660201455616,10
1469,1435925945924325376,10
1411,1435978892242821120,10
1391,1435161334736465920,10
4979,1437119679764570112,11
4707,1436745409037221888,11
4615,1437177538439225344,11
3582,1437224853568958464,11
1961,1436780437922254848,11
1642,1436796625364602880,11
1148,1436429686117179392,11
984,1435074897814900736,11
952,1436111445389873152,11
805,1435116131266793472,11
4684,1435016941383700480,12
4447,1435394634486800384,12
4157,1435568699470123008,12
3996,1435093584567488512,12
2636,1435046399108866048,12
2167,1444384764547506176,12
1971,1435324258104848384,12
1334,1435105582021754880,12
1271,1435388715220750336,12
479,1435274804848959488,12
4747,1435600905831915520,13
4463,1435376080031043584,13
4394,1436289908642041856,13
4340,1436789017085939712,13
4290,1436327370189770752,13
4054,1435985968532701184,13
3408,1436375144847626240,13
2247,1435947383750279168,13
1575,1436522285045792768,13
1315,1436112807699812352,13
4670,1435233425665966080,14
4427,1435788347465732096,14
4178,1435312783734738944,14
3553,1437129307327959040,14
3475,1435587922581917696,14
3015,1435069923332657152,14
2473,1437037204879126528,14
2265,1435280373336838144,14
1885,1435869378482954240,14
1649,1437131033443438592,14
4596,1436518614899871744,15
4510,1437224546868862976,15
3921,1437154421176250368,15
3186,1435435113588969472,15
3019,1437173588373671936,15
2859,1435999107508805632,15
2193,1435315255853428736,15
950,1435230872865673216,15
331,1437109654845280256,15
44,1437243766583164928,15
4429,1435107335639379968,16
3177,1435075068242141184,16
2884,1436825533648670720,16
2778,1436493012704628736,16
2741,1444489605882028032,16
2525,1435163764328894464,16
1975,1437148783666769920,16
757,1437123778455158784,16
446,1436834848161902592,16
194,1436269243293749248,16
4771,1435437512600788992,17
3783,1436700847187111936,17
3412,1436278323471077376,17
3210,1437191035113836544,17
3197,1435074702125506560,17
1763,1435344232957550592,17
1463,1435924720751423488,17
1395,1435300935559962624,17
390,1435948380451135488,17
206,1444222080246075392,17
