,tweet_id
308,1436524777032794112
3432,1436144064248827904
2057,1444142248254480384
4312,1435267039699034112
4311,1436064047699529728
2435,1444320624088915968
3860,1435675874221821952
2695,1436089720157753344
2658,1435374496081457152
2648,1435652337364787200
4937,1435003503928283136
2169,1435346845841203200
1767,1435163534460133376
1898,1435120406080344064
2002,1435639016968310784
4992,1435600086222901248
1201,1444277419825893376
4886,1435530912511545344
2797,1435601679324438528
2580,1435755923969134592
4962,1444410150530519040
1590,1444438085454999552
2647,1436878753456664576
2598,1435993268383277056
4825,1444446959272615936
4989,1437035651237568512
2474,1436865922082480128
2374,1444280450168537088
2360,1435019180751921152
2255,1436457692353204224
4936,1444305253055221760
2071,1435242857133137920
165,1444295014515884032
318,1437115324894175232
603,1444478038549438464
4729,1435232133694492672
4233,1436322438057504768
4068,1436326983315726336
2969,1437201971224666112
2888,1435747539890933760
4154,1435388277859696640
3249,1435029488254038016
3042,1436879883771187200
2321,1444127400955105280
1870,1436736014308024320
4868,1435083848799358976
4521,1435414323724234752
4057,1436081903057182720
3877,1435301011145609216
3652,1435401002765664256
4717,1435997956386217984
4222,1435973960957677568
3124,1435866135371603968
3084,1435942731176677376
2417,1436139864152580096
4979,1437119679764570112
4707,1436745409037221888
4615,1437177538439225344
3582,1437224853568958464
1961,1436780437922254848
4684,1435016941383700480
4447,1435394634486800384
4157,1435568699470123008
3996,1435093584567488512
2636,1435046399108866048
4747,1435600905831915520
4463,1435376080031043584
4394,1436289908642041856
4340,1436789017085939712
4290,1436327370189770752
4670,1435233425665966080
4427,1435788347465732096
4178,1435312783734738944
3553,1437129307327959040
3475,1435587922581917696
4596,1436518614899871744
4510,1437224546868862976
3921,1437154421176250368
3186,1435435113588969472
3019,1437173588373671936
4429,1435107335639379968
3177,1435075068242141184
2884,1436825533648670720
2778,1436493012704628736
2741,1444489605882028032
4771,1435437512600788992
3783,1436700847187111936
3412,1436278323471077376
3210,1437191035113836544
3197,1435074702125506560
