,tweet_id,cluster_id
766,1435025518898843648,0
956,1437120019071123456,0
3039,1437174496587390976,0
4109,1435536548720791552,0
4187,1435033347554676736,0
4036,1437193066025209856,0
4437,1435299575330451456,0
3432,1436144064248827904,0
1212,1437290223075987456,0
1127,1437166520254205952,0
1793,1435443540591620096,1
2228,1436068550830067712,1
2159,1435096930783277056,1
612,1444333327142510592,1
1638,1436283641475256320,1
2597,1435357732740157440,1
3170,1436139365646880768,1
4320,1436034704625504256,1
3850,1435450011463127040,1
802,1444367961255464960,1
4760,1435159746856865792,2
3698,1436156387000729600,2
3613,1435803729513566208,2
2018,1436685321803083776,2
2764,1444355564516134912,2
2002,1435639016968310784,2
4404,1435437558956060672,2
2149,1436840205974220800,2
490,1435391694388744192,2
4881,1435027097769086976,2
35,1435452026134138880,3
1525,1435340004939665408,3
48,1435937279978184704,3
148,1435796630633127936,3
3544,1435418614631391232,3
3697,1436658110609956864,3
765,1436688704920301568,3
2266,1435370460766687232,3
2580,1435755923969134592,3
3308,1435730843994136576,3
1568,1436313020158914560,4
3347,1437148745599160320,4
4679,1437144036159143936,4
2598,1435993268383277056,4
1828,1444265554118840320,4
2151,1437114553607852032,4
4962,1444410150530519040,4
3905,1435902735551959040,4
3392,1436839809276862464,4
3650,1435229914790256640,4
4989,1437035651237568512,5
3910,1437144739078447104,5
249,1437156093965348864,5
2474,1436865922082480128,5
4807,1437149628625981440,5
2617,1436778404280418304,5
3721,1435571158154371072,5
2548,1444530666591461376,5
4074,1437032365751144448,5
4300,1437108045792829440,5
2815,1444336106556768256,6
1663,1435268019870126080,6
1680,1435325754338910208,6
3854,1435376138474475520,6
3173,1435564256183963648,6
2914,1435322397037531136,6
2650,1444436025422618624,6
1005,1435326956837478400,6
1841,1436434396052140032,6
4936,1444305253055221760,6
1917,1436753440236097536,7
2969,1437201971224666112,7
2699,1436102642216972288,7
2144,1435380908215918592,7
1449,1435821093055520768,7
4233,1436322438057504768,7
4068,1436326983315726336,7
2888,1435747539890933760,7
2230,1435032755595792384,7
1645,1437132512334077952,7
3249,1435029488254038016,8
3042,1436879883771187200,8
1870,1436736014308024320,8
1557,1436798027394691072,8
943,1435162799982874624,8
507,1435112670374600704,8
503,1436795052093751296,8
4154,1435388277859696640,8
2321,1444127400955105280,8
1688,1435985714592821248,8
2260,1435411399409291264,9
726,1435044719520792576,9
3652,1435401002765664256,9
1211,1435105436047450112,9
825,1435074079086809088,9
359,1444261156802211840,9
4868,1435083848799358976,9
4521,1435414323724234752,9
4057,1436081903057182720,9
3877,1435301011145609216,9
3124,1435866135371603968,10
2417,1436139864152580096,10
1411,1435978892242821120,10
4717,1435997956386217984,10
4222,1435973960957677568,10
3084,1435942731176677376,10
2359,1436377281467928576,10
1469,1435925945924325376,10
1391,1435161334736465920,10
1333,1435928245103300608,10
4615,1437177538439225344,11
1148,1436429686117179392,11
984,1435074897814900736,11
805,1435116131266793472,11
628,1437115639395758080,11
4707,1436745409037221888,11
3582,1437224853568958464,11
1642,1436796625364602880,11
744,1437114396510199808,11
4979,1437119679764570112,11
4447,1435394634486800384,12
3996,1435093584567488512,12
1971,1435324258104848384,12
1334,1435105582021754880,12
479,1435274804848959488,12
4684,1435016941383700480,12
2636,1435046399108866048,12
2167,1444384764547506176,12
1271,1435388715220750336,12
4157,1435568699470123008,12
4290,1436327370189770752,13
4747,1435600905831915520,13
4463,1435376080031043584,13
4394,1436289908642041856,13
2247,1435947383750279168,13
4340,1436789017085939712,13
4054,1435985968532701184,13
3408,1436375144847626240,13
1575,1436522285045792768,13
1315,1436112807699812352,13
3015,1435069923332657152,14
2473,1437037204879126528,14
1337,1444378088868093952,14
4670,1435233425665966080,14
4427,1435788347465732096,14
4178,1435312783734738944,14
3553,1437129307327959040,14
3475,1435587922581917696,14
2265,1435280373336838144,14
1885,1435869378482954240,14
3921,1437154421176250368,15
3186,1435435113588969472,15
2859,1435999107508805632,15
331,1437109654845280256,15
4510,1437224546868862976,15
3019,1437173588373671936,15
2193,1435315255853428736,15
44,1437243766583164928,15
4596,1436518614899871744,15
950,1435230872865673216,15
2884,1436825533648670720,16
2778,1436493012704628736,16
2525,1435163764328894464,16
1975,1437148783666769920,16
757,1437123778455158784,16
446,1436834848161902592,16
194,1436269243293749248,16
4429,1435107335639379968,16
3177,1435075068242141184,16
2741,1444489605882028032,16
4771,1435437512600788992,17
3210,1437191035113836544,17
3412,1436278323471077376,17
390,1435948380451135488,17
3783,1436700847187111936,17
3197,1435074702125506560,17
1463,1435924720751423488,17
1395,1435300935559962624,17
206,1444222080246075392,17
1763,1435344232957550592,17
