,tweet_id,cluster_id
1,1435028621362614272,0
134,1435786574160142336,0
636,1436821262513446912,0
4543,1435765976478404608,0
1466,1436041388647403520,0
3701,1435909595935821824,0
1939,1435432996866306048,0
3183,1444498834193719296,0
4849,1435912716384882688,0
2753,1444103993920217088,0
273,1444325980122779648,1
3362,1435678887510482944,1
933,1436751474378280960,1
810,1435748703369932800,1
1751,1436072454561148928,1
823,1434990345616510976,1
293,1435194902346964992,1
853,1436092991031099392,1
1415,1435434760487198720,1
258,1435957281024262144,1
1604,1435117706622078976,2
3498,1436940371217551360,2
4438,1435951125270777856,2
4304,1435550966636552192,2
4182,1444046397616033792,2
850,1435434134856355840,2
3604,1435160052655173632,2
3695,1435436944708620288,2
1611,1436989633125040128,2
758,1436007967795593216,2
2045,1436830470025752576,3
2725,1435565004317732864,3
4180,1435029568407097344,3
2863,1436497732651438080,3
1864,1435423166608777216,3
2775,1435537332371922944,3
3366,1435744838335467520,3
1890,1435242797527875584,3
2266,1435370460766687232,3
35,1435452026134138880,3
1392,1435619472983961600,4
2272,1435667705206644736,4
4402,1437017226901606400,4
425,1436518464798306304,4
3201,1435274060473245696,4
2951,1436873821802348544,4
1955,1437151507737190400,4
368,1444442809969352704,4
3445,1435475757116149760,4
4471,1436804291222704128,4
2885,1444482610072363008,5
2791,1444438489718837248,5
2586,1435568728234672128,5
2617,1436778404280418304,5
2595,1437185498980757504,5
1225,1436775219692249088,5
3910,1437144739078447104,5
2868,1444463896300036096,5
4556,1437142679230558208,5
3381,1436289041939451904,5
165,1444295014515884032,6
4351,1435329217135357952,6
3854,1435376138474475520,6
2815,1444336106556768256,6
2212,1435373834195148800,6
1005,1435326956837478400,6
38,1436020955558649856,6
2506,1435360683487637504,6
318,1437115324894175232,6
2650,1444436025422618624,6
2230,1435032755595792384,7
1917,1436753440236097536,7
1645,1437132512334077952,7
644,1435388437654290432,7
433,1435346876274987008,7
4233,1436322438057504768,7
826,1435393267781222400,7
4729,1435232133694492672,7
1449,1435821093055520768,7
4068,1436326983315726336,7
906,1436708086551654400,8
943,1435162799982874624,8
4154,1435388277859696640,8
3249,1435029488254038016,8
1870,1436736014308024320,8
1557,1436798027394691072,8
503,1436795052093751296,8
2321,1444127400955105280,8
352,1436899992153649152,8
1688,1435985714592821248,8
2260,1435411399409291264,9
3877,1435301011145609216,9
359,1444261156802211840,9
4521,1435414323724234752,9
726,1435044719520792576,9
4057,1436081903057182720,9
4868,1435083848799358976,9
3652,1435401002765664256,9
3236,1435402799131631616,9
3129,1435048999569010688,9
1411,1435978892242821120,10
4717,1435997956386217984,10
554,1435745248316215296,10
4222,1435973960957677568,10
1480,1435807660201455616,10
1333,1435928245103300608,10
2417,1436139864152580096,10
2359,1436377281467928576,10
1469,1435925945924325376,10
1391,1435161334736465920,10
952,1436111445389873152,11
4979,1437119679764570112,11
1961,1436780437922254848,11
984,1435074897814900736,11
4615,1437177538439225344,11
4707,1436745409037221888,11
1642,1436796625364602880,11
1148,1436429686117179392,11
805,1435116131266793472,11
744,1437114396510199808,11
3996,1435093584567488512,12
1334,1435105582021754880,12
479,1435274804848959488,12
4684,1435016941383700480,12
4447,1435394634486800384,12
4157,1435568699470123008,12
2636,1435046399108866048,12
2167,1444384764547506176,12
1971,1435324258104848384,12
1271,1435388715220750336,12
3408,1436375144847626240,13
1315,1436112807699812352,13
4394,1436289908642041856,13
4340,1436789017085939712,13
1575,1436522285045792768,13
341,1444300966459842560,13
4463,1435376080031043584,13
4054,1435985968532701184,13
2247,1435947383750279168,13
4747,1435600905831915520,13
1337,1444378088868093952,14
3475,1435587922581917696,14
2473,1437037204879126528,14
1649,1437131033443438592,14
4670,1435233425665966080,14
4427,1435788347465732096,14
4178,1435312783734738944,14
2265,1435280373336838144,14
3553,1437129307327959040,14
3015,1435069923332657152,14
331,1437109654845280256,15
4510,1437224546868862976,15
3186,1435435113588969472,15
44,1437243766583164928,15
2193,1435315255853428736,15
950,1435230872865673216,15
4596,1436518614899871744,15
3921,1437154421176250368,15
3019,1437173588373671936,15
2859,1435999107508805632,15
1975,1437148783666769920,16
3177,1435075068242141184,16
2778,1436493012704628736,16
2741,1444489605882028032,16
757,1437123778455158784,16
4429,1435107335639379968,16
2884,1436825533648670720,16
2525,1435163764328894464,16
446,1436834848161902592,16
194,1436269243293749248,16
390,1435948380451135488,17
206,1444222080246075392,17
1395,1435300935559962624,17
1463,1435924720751423488,17
3412,1436278323471077376,17
3197,1435074702125506560,17
4771,1435437512600788992,17
3783,1436700847187111936,17
3210,1437191035113836544,17
1763,1435344232957550592,17
