,tweet_id
3432,1436144064248827904
152,1437098018638024704
452,1437092637606023168
1434,1436261549543501824
2008,1437070118211698688
1350,1444414807109689344
1359,1436713200570019840
1824,1444411552677965824
815,1436045564085510144
3850,1435450011463127040
109,1444445441190469632
1636,1435700175838892032
2002,1435639016968310784
1204,1435977966459232256
1741,1436217295039303680
924,1435547787182149632
48,1435937279978184704
2580,1435755923969134592
931,1435814029289836544
377,1435739987492982784
448,1435040543210360832
981,1437008893381681152
728,1444323351946833920
1580,1435674773137338368
2151,1437114553607852032
1247,1436454275329179648
6,1435465930956578816
708,1437129375250620416
1485,1436799797940342784
1752,1444381154006683648
2212,1435373834195148800
1005,1435326956837478400
603,1444478038549438464
38,1436020955558649856
165,1444295014515884032
4729,1435232133694492672
4068,1436326983315726336
2969,1437201971224666112
2888,1435747539890933760
2699,1436102642216972288
906,1436708086551654400
4154,1435388277859696640
3249,1435029488254038016
1870,1436736014308024320
1688,1435985714592821248
1211,1435105436047450112
4868,1435083848799358976
4521,1435414323724234752
3652,1435401002765664256
3236,1435402799131631616
1411,1435978892242821120
4717,1435997956386217984
4222,1435973960957677568
2417,1436139864152580096
2359,1436377281467928576
952,1436111445389873152
4979,1437119679764570112
4707,1436745409037221888
1961,1436780437922254848
1642,1436796625364602880
1971,1435324258104848384
1271,1435388715220750336
479,1435274804848959488
265,1435029260662607872
1334,1435105582021754880
3408,1436375144847626240
1575,1436522285045792768
1315,1436112807699812352
341,1444300966459842560
2247,1435947383750279168
2473,1437037204879126528
1885,1435869378482954240
1649,1437131033443438592
1337,1444378088868093952
2265,1435280373336838144
331,1437109654845280256
44,1437243766583164928
2193,1435315255853428736
950,1435230872865673216
4596,1436518614899871744
446,1436834848161902592
194,1436269243293749248
1975,1437148783666769920
757,1437123778455158784
4429,1435107335639379968
390,1435948380451135488
206,1444222080246075392
1463,1435924720751423488
1395,1435300935559962624
4771,1435437512600788992
