,tweet_id,cluster_id
778,1435572594774847488,0
452,1437092637606023168,0
152,1437098018638024704,0
458,1436408648624971776,0
4109,1435536548720791552,0
470,1437244031571046400,0
808,1435294489409695744,0
4113,1435398068061589504,0
1434,1436261549543501824,0
1102,1437281106240450560,0
2528,1435919634948104192,1
2530,1437209032742342656,1
2552,1436056287826124800,1
2597,1435357732740157440,1
2648,1435652337364787200,1
2658,1435374496081457152,1
1350,1444414807109689344,1
815,1436045564085510144,1
1359,1436713200570019840,1
845,1444268077533876224,1
109,1444445441190469632,2
1636,1435700175838892032,2
2002,1435639016968310784,2
1204,1435977966459232256,2
1741,1436217295039303680,2
2099,1435590725035565056,2
1898,1435120406080344064,2
2085,1444088537129918464,2
3528,1435165880258813952,2
3895,1435070421162860544,2
924,1435547787182149632,3
48,1435937279978184704,3
2580,1435755923969134592,3
931,1435814029289836544,3
377,1435739987492982784,3
2019,1435199746659004416,3
3546,1436868789526728704,3
899,1444389747527401472,3
3415,1435623079829454848,3
3308,1435730843994136576,3
448,1435040543210360832,4
981,1437008893381681152,4
728,1444323351946833920,4
1580,1435674773137338368,4
2151,1437114553607852032,4
2905,1444347023600328704,4
1590,1444438085454999552,4
2675,1436517244310274048,4
2598,1435993268383277056,4
3231,1436443066592858112,4
1247,1436454275329179648,5
6,1435465930956578816,5
708,1437129375250620416,5
1485,1436799797940342784,5
1752,1444381154006683648,5
323,1435388778416312320,5
1697,1437114557303074816,5
4074,1437032365751144448,5
2781,1435598403237466112,5
2791,1444438489718837248,5
2212,1435373834195148800,6
1005,1435326956837478400,6
603,1444478038549438464,6
38,1436020955558649856,6
165,1444295014515884032,6
318,1437115324894175232,6
2506,1435360683487637504,6
1663,1435268019870126080,6
2914,1435322397037531136,6
2815,1444336106556768256,6
4729,1435232133694492672,7
4068,1436326983315726336,7
2969,1437201971224666112,7
2888,1435747539890933760,7
2699,1436102642216972288,7
2144,1435380908215918592,7
1917,1436753440236097536,7
1645,1437132512334077952,7
1449,1435821093055520768,7
644,1435388437654290432,7
906,1436708086551654400,8
4154,1435388277859696640,8
3249,1435029488254038016,8
1870,1436736014308024320,8
1688,1435985714592821248,8
1557,1436798027394691072,8
943,1435162799982874624,8
507,1435112670374600704,8
503,1436795052093751296,8
3042,1436879883771187200,8
1211,1435105436047450112,9
4868,1435083848799358976,9
4521,1435414323724234752,9
3652,1435401002765664256,9
3236,1435402799131631616,9
3129,1435048999569010688,9
2260,1435411399409291264,9
825,1435074079086809088,9
726,1435044719520792576,9
4057,1436081903057182720,9
1411,1435978892242821120,10
4717,1435997956386217984,10
4222,1435973960957677568,10
2417,1436139864152580096,10
2359,1436377281467928576,10
1480,1435807660201455616,10
1469,1435925945924325376,10
1391,1435161334736465920,10
1333,1435928245103300608,10
3124,1435866135371603968,10
952,1436111445389873152,11
4979,1437119679764570112,11
4707,1436745409037221888,11
1961,1436780437922254848,11
1642,1436796625364602880,11
1148,1436429686117179392,11
984,1435074897814900736,11
805,1435116131266793472,11
744,1437114396510199808,11
4615,1437177538439225344,11
1971,1435324258104848384,12
1271,1435388715220750336,12
479,1435274804848959488,12
265,1435029260662607872,12
1334,1435105582021754880,12
4684,1435016941383700480,12
4447,1435394634486800384,12
4157,1435568699470123008,12
3996,1435093584567488512,12
2636,1435046399108866048,12
3408,1436375144847626240,13
1575,1436522285045792768,13
1315,1436112807699812352,13
341,1444300966459842560,13
2247,1435947383750279168,13
4747,1435600905831915520,13
4463,1435376080031043584,13
4394,1436289908642041856,13
4340,1436789017085939712,13
4290,1436327370189770752,13
2473,1437037204879126528,14
1885,1435869378482954240,14
1649,1437131033443438592,14
1337,1444378088868093952,14
2265,1435280373336838144,14
4670,1435233425665966080,14
4427,1435788347465732096,14
4178,1435312783734738944,14
3553,1437129307327959040,14
3475,1435587922581917696,14
331,1437109654845280256,15
44,1437243766583164928,15
2193,1435315255853428736,15
950,1435230872865673216,15
4596,1436518614899871744,15
4510,1437224546868862976,15
3921,1437154421176250368,15
3186,1435435113588969472,15
3019,1437173588373671936,15
2859,1435999107508805632,15
446,1436834848161902592,16
194,1436269243293749248,16
1975,1437148783666769920,16
757,1437123778455158784,16
4429,1435107335639379968,16
3177,1435075068242141184,16
2884,1436825533648670720,16
2778,1436493012704628736,16
2741,1444489605882028032,16
2525,1435163764328894464,16
390,1435948380451135488,17
206,1444222080246075392,17
1463,1435924720751423488,17
1395,1435300935559962624,17
4771,1435437512600788992,17
3783,1436700847187111936,17
3412,1436278323471077376,17
3210,1437191035113836544,17
3197,1435074702125506560,17
1763,1435344232957550592,17
