,tweet_id,cluster_id
3363,1435647727979859968,0
3712,1435460590043021312,0
1632,1436119491381915648,0
3457,1444383888223133696,0
444,1436497792344723456,0
1484,1444441504693510144,0
3464,1436329864458641408,0
1142,1435626089167130624,0
522,1435378024703275008,0
4146,1436772317300940800,0
1046,1435284072733892608,1
2180,1436691459072303104,1
3149,1435090353527398400,1
4148,1435448673496875008,1
2031,1435236510811529216,1
2262,1435953195923169280,1
1834,1444102431974043648,1
2513,1435617790573129728,1
485,1436161126543335424,1
882,1436117371480072192,1
3394,1436273696776364032,2
4438,1435951125270777856,2
2640,1436149311268696064,2
3304,1435299206885953536,2
4881,1435027097769086976,2
4182,1444046397616033792,2
3474,1436427034323001344,2
3058,1436823036611661824,2
2811,1435209988377563136,2
2489,1435207780261060608,2
3852,1436050830269063168,3
148,1435796630633127936,3
3973,1434995486633693184,3
2140,1444325177521750016,3
3308,1435730843994136576,3
3351,1435615900506415104,3
3544,1435418614631391232,3
3638,1435568844886654976,3
4323,1435676889981624320,3
3697,1436658110609956864,3
2966,1436134738499182592,4
425,1436518464798306304,4
4264,1437250642960175104,4
3172,1444097908043919360,4
2951,1436873821802348544,4
4494,1436177416326688768,4
3201,1435274060473245696,4
3445,1435475757116149760,4
4471,1436804291222704128,4
1836,1435018494156943360,4
354,1435358549404749824,5
323,1435388778416312320,5
2617,1436778404280418304,5
4736,1436825321014243328,5
2374,1444280450168537088,5
2887,1436081318832611328,5
2474,1436865922082480128,5
4099,1437026579247423488,5
3721,1435571158154371072,5
2595,1437185498980757504,5
2815,1444336106556768256,6
2212,1435373834195148800,6
603,1444478038549438464,6
3854,1435376138474475520,6
3173,1435564256183963648,6
2795,1435678447909670912,6
2914,1435322397037531136,6
1005,1435326956837478400,6
318,1437115324894175232,6
1680,1435325754338910208,6
826,1435393267781222400,7
2144,1435380908215918592,7
1917,1436753440236097536,7
644,1435388437654290432,7
2888,1435747539890933760,7
1449,1435821093055520768,7
433,1435346876274987008,7
4233,1436322438057504768,7
362,1435661320397987840,7
4729,1435232133694492672,7
507,1435112670374600704,8
906,1436708086551654400,8
943,1435162799982874624,8
3249,1435029488254038016,8
503,1436795052093751296,8
1688,1435985714592821248,8
352,1436899992153649152,8
1870,1436736014308024320,8
4154,1435388277859696640,8
3042,1436879883771187200,8
825,1435074079086809088,9
1211,1435105436047450112,9
2260,1435411399409291264,9
4521,1435414323724234752,9
726,1435044719520792576,9
3236,1435402799131631616,9
359,1444261156802211840,9
3652,1435401002765664256,9
4868,1435083848799358976,9
4057,1436081903057182720,9
1391,1435161334736465920,10
1411,1435978892242821120,10
1469,1435925945924325376,10
4222,1435973960957677568,10
1333,1435928245103300608,10
2359,1436377281467928576,10
554,1435745248316215296,10
2417,1436139864152580096,10
4717,1435997956386217984,10
3124,1435866135371603968,10
805,1435116131266793472,11
952,1436111445389873152,11
984,1435074897814900736,11
4707,1436745409037221888,11
744,1437114396510199808,11
1642,1436796625364602880,11
628,1437115639395758080,11
1961,1436780437922254848,11
4979,1437119679764570112,11
4615,1437177538439225344,11
1271,1435388715220750336,12
1334,1435105582021754880,12
1971,1435324258104848384,12
4447,1435394634486800384,12
479,1435274804848959488,12
2636,1435046399108866048,12
265,1435029260662607872,12
3996,1435093584567488512,12
4684,1435016941383700480,12
4157,1435568699470123008,12
1575,1436522285045792768,13
2247,1435947383750279168,13
3408,1436375144847626240,13
4463,1435376080031043584,13
1315,1436112807699812352,13
4290,1436327370189770752,13
341,1444300966459842560,13
4340,1436789017085939712,13
4747,1435600905831915520,13
4394,1436289908642041856,13
1885,1435869378482954240,14
2265,1435280373336838144,14
2473,1437037204879126528,14
4427,1435788347465732096,14
1649,1437131033443438592,14
3475,1435587922581917696,14
1337,1444378088868093952,14
3553,1437129307327959040,14
4670,1435233425665966080,14
4178,1435312783734738944,14
950,1435230872865673216,15
4596,1436518614899871744,15
3186,1435435113588969472,15
2859,1435999107508805632,15
44,1437243766583164928,15
2193,1435315255853428736,15
331,1437109654845280256,15
3921,1437154421176250368,15
4510,1437224546868862976,15
3019,1437173588373671936,15
757,1437123778455158784,16
4429,1435107335639379968,16
2778,1436493012704628736,16
2525,1435163764328894464,16
194,1436269243293749248,16
1975,1437148783666769920,16
446,1436834848161902592,16
2884,1436825533648670720,16
3177,1435075068242141184,16
2741,1444489605882028032,16
1395,1435300935559962624,17
4771,1435437512600788992,17
3210,1437191035113836544,17
1763,1435344232957550592,17
206,1444222080246075392,17
1463,1435924720751423488,17
390,1435948380451135488,17
3412,1436278323471077376,17
3783,1436700847187111936,17
3197,1435074702125506560,17
