,tweet_id,cluster_id
2415,1435978907493228544,0
4154,1435388277859696640,0
2213,1436525302398717952,0
93,1436732704142336000,0
1557,1436798027394691072,0
3582,1437224853568958464,0
3020,1436407412806852608,0
390,1435948380451135488,0
2243,1444049471004987392,0
304,1444201305078222848,0
3467,1436773118819934208,1
2498,1436635098133172224,1
2501,1437083458338181120,1
3636,1436042284307525632,1
471,1435163724537552896,1
4613,1444417389345529856,1
1608,1437153581493272576,1
4532,1437107420619227136,1
1232,1435267297409748992,1
2822,1436109994039013376,1
3412,1436278323471077376,2
266,1435429899498627072,2
158,1436068258763853824,2
333,1436059840238047232,2
2245,1436113308348715008,2
1434,1436261549543501824,2
1381,1435164184128405504,2
4735,1435581488502816768,2
4732,1435819275655254016,2
4403,1437179369731002368,2
