,tweet_id,cluster_id
395,1435343797764775936,0
2526,1437114623761784832,0
3215,1436067388005421056,0
2518,1435029679535132672,0
2472,1436096085764759552,0
4527,1436460016328916992,0
3639,1444142509882494976,0
3290,1436774399613485056,0
4796,1435346923855155200,0
2997,1435345881604182016,0
3953,1435268443129974784,1
2257,1435744793150337024,1
2038,1435653260317233152,1
4329,1444074933265616896,1
1110,1435587169272438784,1
1168,1437077546584182784,1
4513,1436691837012611072,1
2983,1435435232379953152,1
951,1435382502747746304,1
2055,1436661451779891200,1
53,1435028610448969728,2
4811,1435162691224563712,2
1246,1435449138133483520,2
3609,1436037856217141248,2
1929,1444057617148563456,2
30,1435161143287373824,2
927,1436102120852254720,2
81,1437046686652772352,2
4407,1435680539936165888,2
2662,1435211007421472768,2
