,tweet_id,cluster_id
93,1436732704142336000,0
2415,1435978907493228544,0
3020,1436407412806852608,0
2213,1436525302398717952,0
1960,1437117111730589696,0
2243,1444049471004987392,0
3929,1436670125055299584,0
1252,1435398538188500992,0
3334,1435365001154514944,0
4150,1437055364898467840,0
2822,1436109994039013376,1
783,1444416908082782208,1
3967,1437076982462832640,1
3984,1437148948477747200,1
4613,1444417389345529856,1
3925,1435434565976399872,1
845,1444268077533876224,1
4517,1435332450419462144,1
4537,1436126034613706752,1
2966,1436134738499182592,1
266,1435429899498627072,2
158,1436068258763853824,2
1766,1435311812459831296,2
1434,1436261549543501824,2
4113,1435398068061589504,2
3412,1436278323471077376,2
2560,1435097649762508800,2
1371,1437081187047157760,2
1527,1435728335754117120,2
398,1435322000734576640,2
