,tweet_id,cluster_id
1962,1435024791317135360,0
3185,1435158568194371584,0
3758,1435300617636007936,0
1464,1435345451675422720,0
2706,1435437605399764992,0
4406,1435362912294559744,0
1945,1436332235460841472,0
3372,1435452086347608064,0
868,1436457450375454720,0
3362,1435678887510482944,0
2248,1436064596973002752,1
4785,1435965702213672960,1
1586,1435629787603668992,1
1687,1435738713892470784,1
3987,1435409559728885760,1
691,1436255009436577792,1
636,1436821262513446912,1
2123,1435335505546207232,1
476,1435447862255620096,1
3897,1436655745207050240,1
1091,1435389862484512768,2
3430,1436411121947320320,2
398,1435322000734576640,2
4732,1435819275655254016,2
3412,1436278323471077376,2
1381,1435164184128405504,2
1929,1444057617148563456,2
1604,1435117706622078976,2
1611,1436989633125040128,2
3706,1435070915960844288,2
