model,actl,hidden_dim,lr,epochs,weight_decay,shuffle_train_val,train_size,val_size,test_size,knn_total,knn_train,select_best,random_state,bacc_mean,bacc_std
KarateGraph,-,256,1e-05,40,0.001,False,2600,500,1900,16,-,val,,0.68417376,0.15487222
KarateGraph,-,4096,1e-05,40,0.001,False,2600,500,1900,16,-,val,,0.8187434,0.008859076
KarateGraph,random,256,1e-05,40,0.001,False,18,12,-1,16,10,val,,0.57223374,0.14894114
KarateGraph,random,256,1e-05,40,0.001,False,12,18,-1,16,10,val,,0.58478796,0.1405946
KarateGraph,random,256,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.57536364,0.15348986
KarateGraph,random,256,1e-05,40,0.001,True,12,18,-1,16,10,val,,0.57101995,0.15040104
KarateGraph,degree,256,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.59592927,0.09879754
KarateGraph,kmeans,256,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.56965506,0.12132098
KarateSAGE,random,256,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.53265893,0.082622185
KarateSAGE,degree,256,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.6023525,0.06963474
KarateSAGE,kmeans,256,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.5765911,0.10946914
KarateAtt,random,256,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.5927226,0.16538091
KarateAtt,degree,256,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.5456913,0.05447584
KarateAtt,kmeans,256,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.528717,0.07668692
KarateGraph,random,4096,1e-05,40,0.001,True,12,18,-1,16,10,val,,0.67982686,0.16580375
KarateGraph,random,4096,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.6981915,0.17144506
KarateSAGE,degree,4096,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.5883607,0.08140555
KarateGraph,degree,4096,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.6210663,0.07828455
KarateGraphLin1,random,4096,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.5836006,0.15047023
KarateSAGE,random,4096,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.5214661,0.12279535
KarateAtt,random,4096,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.6249499,0.16941081
KarateGraphLin2,random,4096,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.5657325,0.16509162
KarateGraph3GCN,random,4096,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.72593415,0.15172288
KarateGraph3GCN,degree,4096,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.64514333,0.08617774
KarateGraph3Att,degree,4096,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.6772679,0.06790447
KarateGraph3Att,random,4096,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.6990692,0.14902514
KarateGraph3SAGE,random,4096,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.6388524,0.17682762
KarateGraph4Att,random,4096,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.75903803,0.1379794
KarateGraph4Att,degree,4096,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.6924181,0.11914857
KarateGraph,random,4096,1e-05,40,0.001,True,18,12,-1,64,40,val,,0.63390607,0.15822726
KarateGraph5Att,random,4096,1e-05,40,0.001,True,18,12,-1,64,40,val,,0.7437529,0.14749937
KarateGraph5Att,degree,4096,1e-05,40,0.001,True,18,12,-1,64,40,val,,0.7046313,0.05215978
KarateGraph5Att,degree,4096,1e-05,40,0.001,True,18,12,-1,64,40,val,,0.7297915,0.07102266
KarateGraph5Att,degree,4096,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.7300052,0.071253434
KarateGraph5Att,random,4096,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.74065936,0.14939243
KarateGraph4GCN,random,4096,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.08421053,0.2526316
KarateGraph4GCN,degree,4096,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.06798313,0.20394938
KarateGraph4Att,degree,4096,1e-05,40,0.001,True,18,12,-1,16,10,val,,0.81287587,0.016161038
